miner_id,job_id,model_id,topic,if_contains_topic_in_s3_result,s3_url
0x7ac4bdd5686721bbbbd0d450c978818a9376869a,heurist-llm-534319117436,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x7ac4bdd5686721bbbbd0d450c978818a9376869a/openhermes-mixtral-8x7b-gptq/heurist-llm-534319117436-2024-05-13T01:21:51.008Z.json
0xbb4ce31a3b71ee66f33366fa28b0840e3d3b042b,heurist-llm-489729780687,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xbb4ce31a3b71ee66f33366fa28b0840e3d3b042b/openhermes-mixtral-8x7b-gptq/heurist-llm-489729780687-2024-05-13T01:24:23.060Z.json
0x61d46fecc91d93c87735fd94ebfb5d1343b22f8d,heurist-llm-308644176691,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x61d46fecc91d93c87735fd94ebfb5d1343b22f8d/openhermes-mixtral-8x7b-gptq/heurist-llm-308644176691-2024-05-13T01:26:59.081Z.json
0xc0bb6c9f3198bfcd9fc8a401de6a2f911b9057bc,heurist-llm-602393697123,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xc0bb6c9f3198bfcd9fc8a401de6a2f911b9057bc/openhermes-mixtral-8x7b-gptq/heurist-llm-602393697123-2024-05-13T01:30:11.512Z.json
0x042a69f1939c77fd4a4eaa321a9cc684f06c47c2,heurist-llm-363243827950,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x042a69f1939c77fd4a4eaa321a9cc684f06c47c2/openhermes-mixtral-8x7b-gptq/heurist-llm-363243827950-2024-05-13T01:32:46.176Z.json
0x55d3bf16daeb9ab04fb7ab589b3925fd4f3db50d,heurist-llm-611241886553,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x55d3bf16daeb9ab04fb7ab589b3925fd4f3db50d/openhermes-mixtral-8x7b-gptq/heurist-llm-611241886553-2024-05-13T01:35:09.508Z.json
0x660bfca9bc4925ac8dbf1e0c2dcebc20febd4bd0,heurist-llm-505093292339,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x660bfca9bc4925ac8dbf1e0c2dcebc20febd4bd0/openhermes-mixtral-8x7b-gptq/heurist-llm-505093292339-2024-05-13T01:35:38.882Z.json
0x30c958dcab153c7adae380582624186585727906,heurist-llm-796478677183,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x30c958dcab153c7adae380582624186585727906/openhermes-mixtral-8x7b-gptq/heurist-llm-796478677183-2024-05-13T01:36:23.826Z.json
0xcc116cb9fc3afe9f3a3704eeca4233a31a978e30,heurist-llm-897304316481,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xcc116cb9fc3afe9f3a3704eeca4233a31a978e30/openhermes-mixtral-8x7b-gptq/heurist-llm-897304316481-2024-05-13T01:37:45.953Z.json
0x65bdb40c4d474beea3584d74a70b5b7bdd778d5c,heurist-llm-684382592488,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x65bdb40c4d474beea3584d74a70b5b7bdd778d5c/openhermes-mixtral-8x7b-gptq/heurist-llm-684382592488-2024-05-13T01:40:23.742Z.json
0x4b8fcaa7c817615728d934274bd4b251ab77e86e,heurist-llm-954721702477,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x4b8fcaa7c817615728d934274bd4b251ab77e86e/openhermes-mixtral-8x7b-gptq/heurist-llm-954721702477-2024-05-13T01:41:10.612Z.json
0x0a2b71f4757ccf11707b3dc035fef55703cfb4cf,heurist-llm-198006871316,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x0a2b71f4757ccf11707b3dc035fef55703cfb4cf/openhermes-mixtral-8x7b-gptq/heurist-llm-198006871316-2024-05-13T01:42:47.217Z.json
