miner_id,prob_job_1,prob_job_2
0xb9c88ee2cd6e00e05ad1ea6f99a3514babb84300,s3://validator-history/0xb9c88ee2cd6e00e05ad1ea6f99a3514babb84300/openhermes-mixtral-8x7b-gptq/heurist-llm-925404721084-2024-05-13T01:14:11.160Z.json,
0xaafabcd97758a8e9a257f807bebdf4dbf6dde699,s3://validator-history/0xaafabcd97758a8e9a257f807bebdf4dbf6dde699/openhermes-mixtral-8x7b-gptq/heurist-llm-965908530204-2024-05-13T01:15:34.465Z.json,s3://validator-history/0xaafabcd97758a8e9a257f807bebdf4dbf6dde699/openhermes-mixtral-8x7b-gptq/heurist-llm-819114830311-2024-05-23T09:14:21.229Z.json
0xa8e99dfecb0b837d917445c87d8663a2e12efd17,s3://validator-history/0xa8e99dfecb0b837d917445c87d8663a2e12efd17/openhermes-mixtral-8x7b-gptq/heurist-llm-500709365206-2024-05-13T01:16:57.396Z.json,s3://validator-history/0xa8e99dfecb0b837d917445c87d8663a2e12efd17/openhermes-mixtral-8x7b-gptq/heurist-llm-488553831672-2024-05-23T15:52:19.690Z.json
0x2d2cb8e680feb14467020086666b43cffbdd3cb3,s3://validator-history/0x2d2cb8e680feb14467020086666b43cffbdd3cb3/openhermes-mixtral-8x7b-gptq/heurist-llm-962937935229-2024-05-13T01:20:09.690Z.json,s3://validator-history/0x2d2cb8e680feb14467020086666b43cffbdd3cb3/openhermes-mixtral-8x7b-gptq/heurist-llm-515276421621-2024-05-23T09:27:25.286Z.json
0x2b43de1407e57596163428d14fe0ffbd2c9ec21c,s3://validator-history/0x2b43de1407e57596163428d14fe0ffbd2c9ec21c/openhermes-mixtral-8x7b-gptq/heurist-llm-888149392750-2024-05-13T01:22:28.748Z.json,s3://validator-history/0x2b43de1407e57596163428d14fe0ffbd2c9ec21c/openhermes-mixtral-8x7b-gptq/heurist-llm-105602764269-2024-05-23T13:24:39.106Z.json
0x7ac4bdd5686721bbbbd0d450c978818a9376869a,s3://validator-history/0x7ac4bdd5686721bbbbd0d450c978818a9376869a/openhermes-mixtral-8x7b-gptq/heurist-llm-534319117436-2024-05-13T01:21:51.008Z.json,s3://validator-history/0x7ac4bdd5686721bbbbd0d450c978818a9376869a/openhermes-mixtral-8x7b-gptq/heurist-llm-530291748258-2024-05-23T08:19:01.313Z.json
0xbb4ce31a3b71ee66f33366fa28b0840e3d3b042b,s3://validator-history/0xbb4ce31a3b71ee66f33366fa28b0840e3d3b042b/openhermes-mixtral-8x7b-gptq/heurist-llm-489729780687-2024-05-13T01:24:23.060Z.json,s3://validator-history/0xbb4ce31a3b71ee66f33366fa28b0840e3d3b042b/openhermes-mixtral-8x7b-gptq/heurist-llm-386405012802-2024-05-23T10:55:17.838Z.json
0x61d46fecc91d93c87735fd94ebfb5d1343b22f8d,s3://validator-history/0x61d46fecc91d93c87735fd94ebfb5d1343b22f8d/openhermes-mixtral-8x7b-gptq/heurist-llm-308644176691-2024-05-13T01:26:59.081Z.json,s3://validator-history/0x61d46fecc91d93c87735fd94ebfb5d1343b22f8d/openhermes-mixtral-8x7b-gptq/heurist-llm-139238214720-2024-05-23T17:04:04.203Z.json
0xc0bb6c9f3198bfcd9fc8a401de6a2f911b9057bc,s3://validator-history/0xc0bb6c9f3198bfcd9fc8a401de6a2f911b9057bc/openhermes-mixtral-8x7b-gptq/heurist-llm-602393697123-2024-05-13T01:30:11.512Z.json,s3://validator-history/0xc0bb6c9f3198bfcd9fc8a401de6a2f911b9057bc/openhermes-mixtral-8x7b-gptq/heurist-llm-514419198999-2024-05-23T11:43:17.744Z.json
0x042a69f1939c77fd4a4eaa321a9cc684f06c47c2,s3://validator-history/0x042a69f1939c77fd4a4eaa321a9cc684f06c47c2/openhermes-mixtral-8x7b-gptq/heurist-llm-363243827950-2024-05-13T01:32:46.176Z.json,
